"date","deviceCategory","channelGrouping","Sessions","GoalCompletions","DeviceClass","DesktopDummy","MobileDummy","TabletDummy","ChannelClass","OtherDummy","DirectDummy","DisplayDummy","OrganicSearchDummy","PaidSearchDummy","ReferralDummy","SocialDummy","EmailDummy","BreakTimeClass","BreakTimeDummy1","BreakTimeDummy2","BreakTimeDummy3"
2016-01-01,"mobile","(Other)",186,0,2,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
2016-01-01,"tablet","(Other)",80,0,3,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0
2016-01-01,"desktop","Direct",744,4,1,1,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0
2016-01-01,"mobile","Direct",4491,21,2,0,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0
2016-01-01,"tablet","Direct",611,4,3,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,0
2016-01-01,"desktop","Display",18174,63,1,1,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-01,"mobile","Display",17509,30,2,0,1,0,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-01,"tablet","Display",2312,17,3,0,0,1,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-01,"desktop","Organic Search",6589,63,1,1,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-01,"mobile","Organic Search",9672,67,2,0,1,0,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-01,"tablet","Organic Search",1700,8,3,0,0,1,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-01,"desktop","Paid Search",26,0,1,1,0,0,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-01,"mobile","Paid Search",292,4,2,0,1,0,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-01,"desktop","Referral",1700,0,1,1,0,0,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-01,"mobile","Referral",1807,13,2,0,1,0,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-01,"tablet","Referral",531,0,3,0,0,1,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-01,"desktop","Social",531,4,1,1,0,0,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-01,"mobile","Social",4835,4,2,0,1,0,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-01,"tablet","Social",638,0,3,0,0,1,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-02,"desktop","(Other)",213,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
2016-01-02,"mobile","(Other)",159,0,2,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
